258.3958  1.54  9.12   -1.7700  101.3072  999.0000
258.4167  1.87  9.14   -1.6700   99.8889  998.9000
258.4375  1.71  9.14   -1.6500   99.9713  999.0000
258.4583  1.67  9.16   -1.5700  100.1991  999.0000
258.4792  1.38  9.17   -1.4900  100.7307  999.0000
258.5000  2.37  9.19   -1.3500  100.1902  998.7000
258.5208  2.36  9.20   -1.2900   99.6262  998.6000
258.5417  2.09  9.20   -1.3200  100.1613  998.7000
258.5625  1.98  9.21   -1.2800   99.8191  998.6000
258.5833  2.02  9.21   -1.2300   99.8724  998.5000
258.6042  1.40  9.22   -1.1900  100.7443  998.5000
258.6250  1.34  9.24   -1.0600  101.1238  998.6000
258.6458  1.98  9.26   -0.9700  101.2383  998.5000
258.6667  2.31  9.28   -0.8300  100.5983  998.5000
258.6875  2.59  9.31   -0.6600   97.9183  998.5000
258.7083  2.67  9.33   -0.5400   98.4087  998.5000
258.7292  2.96  9.36   -0.3800   99.2614  998.4000
258.7500  2.68  0.00    0.0100   98.5905  998.3000
258.7708  2.58  0.00    0.1600   99.5470  998.3000
258.7917  3.26  0.00    0.3500   98.6681  998.2000
258.8125  2.88  0.00    0.4200   99.6974  998.4000
258.8333  2.30  0.00    0.5500  100.0706  998.7000
258.8542  2.57  0.00    0.7000  100.2247  998.6000
258.8750  3.26  0.00    0.9300   99.9048  998.3000
258.8958  3.46  0.00    1.2200   99.4297  998.1000
258.9167  2.79  0.00    1.2100   99.8346  998.0000
258.9375  2.21  0.00    1.1600  100.3769  997.8000
258.9583  1.64  0.00    1.2900  100.6470  997.6000
258.9792  2.41  0.00    1.3300  100.9046  997.6000
259.0000  2.90  0.00    1.4900  101.0458  997.4000
259.0208  3.15  0.00    1.7700  100.5784  997.3000
259.0417  2.34  0.00    1.7700  100.5784  997.3000
259.0625  1.82  0.00    1.8000  100.6477  997.4000
259.0833  2.39  0.00    1.8100  100.5398  997.4000
259.1042  2.35  0.00    1.8800  100.4724  997.4000
259.1250  3.43  0.00    1.9200  100.6302  997.4000
259.1458  3.45  0.00    1.9000  100.8459  997.4000
259.1667  3.58  0.00    1.9700  100.8764  997.2000
259.1875  3.87  0.00    1.9400  100.8073  996.9000
259.2083  3.78  0.00    1.6500  101.1862  996.7000
259.2292  3.55  0.00    1.5400  101.3915  996.5000
259.2500  3.87  0.00    1.4700  101.4595  996.3000
259.2708  3.60  0.00    1.3900  101.6360  996.0000
259.2917  3.89  0.00    1.4400  101.5873  995.7000
259.3125  4.02  0.00    1.3600  101.7640  995.6000
259.3333  3.87  0.00    1.3600  101.7640  995.4000
259.3542  3.58  0.00    1.3900  101.7347  995.3000
259.3750  3.51  0.00    1.4000  101.8236  994.9000
259.3958  3.52  0.00    1.2900  101.9310  994.6000
259.4167  3.82  0.00    1.2800  101.9408  994.4000
259.4375  4.78  0.00    1.4000  101.8236  994.2000
259.4583  4.32  0.00    1.3600  101.8627  994.0000
259.4792  3.50  0.00    1.2000  102.1179  993.8000
259.5000  3.22  0.00    1.1500  102.1668  993.7000
259.5208  3.90  0.00    1.2000  102.1179  993.3000
259.5417  3.75  0.00    1.2300  101.9897  992.9000
259.5625  4.61  0.00    1.3200  102.0005  992.8000
259.5833  4.85  0.00    1.1600  102.1570  992.7000
259.6042  4.83  0.00    1.0300  102.1854  992.5000
259.6250  5.29  0.00    0.7300  102.4798  992.1000
259.6458  5.28  0.00    0.5400  102.6667  991.8000
259.6667  5.25  0.00    0.5800  102.6273  991.6000
259.6875  5.05  0.00    0.7700  102.2420  991.7000
259.7083  5.03  0.00    0.8000  102.1133  991.7000
259.7292  3.99  0.00    0.7500  101.8645  991.7000
259.7500  4.36  0.00    0.8300  101.3895  991.6000
259.7708  4.17  0.00    0.9900  100.7388  991.4000
259.7917  3.92  0.00    1.1200  100.4155  991.2000
259.8125  4.35  0.00    1.1800   99.9622  991.3000
259.8333  4.45  0.00    1.2900   99.3630  991.4000
259.8542  4.55  0.00    1.4300   99.2298  991.4000
259.8750  4.85  0.00    1.6400   98.7349  991.4000
259.8958  4.67  0.00    1.8000   98.3871  991.6000
259.9167  4.59  0.00    1.7100   98.4720  991.9000
259.9375  4.22  0.00    1.6300   98.7444  992.1000
259.9583  4.69  0.00    1.4900   98.6798  992.1000
259.9792  4.36  0.00    1.3500   98.9110  992.4000
260.0000  4.60  0.00    1.2900   98.8691  992.7000
260.0208  4.76  0.00    1.2700   98.4930  992.8000
260.0417  5.93  0.00    0.9300   98.9137  993.0000
260.0625  5.73  0.00    0.7800   98.6590  993.3000
260.0833  5.76  0.00    0.3800   99.0382  993.7000
260.1042  6.07  0.00    0.0400   99.1619  994.0000
260.1250  6.59  9.39   -0.2300   98.3168  994.0000
260.1458  6.63  9.33   -0.5500   97.7144  994.3000
260.1667  5.68  9.25   -1.0300   98.1658  994.8000
260.1875  6.23  9.21   -1.2800   96.3771  995.0000
260.2083  7.42  9.16   -1.5200   97.1068  995.0000
260.2292  5.79  9.13   -1.7300   99.7431  995.5000
260.2500  5.83  9.09   -1.9700   99.7696  996.0000
260.2708  5.97  9.07   -2.0700   99.3554  996.2000
260.2917  5.57  9.07   -2.0600   99.1419  996.4000
260.3125  5.70  9.06   -2.1200   99.5052  996.5000
260.3333  5.19  9.02   -2.3700   98.9262  996.8000
260.3542  4.47  9.06   -2.1600   98.7267  997.2000
260.3750  4.69  9.06   -2.1200   97.3620  997.5000
260.3958  5.42  9.07   -2.0700   96.9073  997.6000
260.4167  5.58  9.09   -1.9700   96.6104  997.9000
260.4375  4.83  9.08   -2.0200   96.6568  998.3000
260.4583  3.27  9.07   -2.0500   97.6025  998.5000
260.4792  3.84  9.08   -2.0200   98.7979  998.7000
260.5000  4.59  9.08   -2.0300   97.9917  998.9000
260.5208  4.31  9.08   -2.0200   98.7979  999.2000
260.5417  2.67  9.10   -1.9000   97.4620  999.5000
260.5625  1.92  9.09   -1.9500   98.9353  999.8000
260.5833  1.61  9.10   -1.9100   99.4065 1000.2000
260.6042  1.89  9.10   -1.8900   98.6746 1000.5000
260.6250  2.23  9.10   -1.8800   98.5633 1000.7000
260.6458  2.06  9.12   -1.7900   97.2573 1001.0000
260.6667  2.89  9.15   -1.6000   95.5567 1001.3000
260.6875  2.08  9.21   -1.2700   95.6592 1001.4000
260.7083  3.49  9.26   -0.9500   92.6410 1001.4000
260.7292  3.61  9.30   -0.7200   89.6172 1001.7000
260.7500  3.11  9.34   -0.5000   87.6195 1001.9000
260.7708  2.65  9.38   -0.3000   88.8555 1001.9000
260.7917  2.68  0.00    0.0400   86.8667 1001.9000
260.8125  3.00  0.00    0.1700   85.8598 1001.9000
260.8333  2.38  0.00    0.6600   84.4635 1002.0000
260.8542  2.77  0.00    0.5400   85.4561 1002.4000
260.8750  2.60  0.00    0.8400   84.3178 1002.6000
260.8958  2.61  0.00    0.8200   83.9371 1002.7000
260.9167  1.61  0.00    0.8400   84.1194 1002.8000
260.9375  1.78  0.00    1.0300   84.3624 1002.9000
260.9583  1.81  0.00    1.3800   83.0929 1002.9000
260.9792  2.06  0.00    1.8200   81.0727 1003.0000
261.0000  1.36  0.00    1.9400   81.4703 1002.7000
261.0208  1.11  0.00    2.1100   82.2197 1002.6000
261.0417  0.94  0.00    2.3200   81.9567 1002.5000
261.0625  0.87  0.00    2.4200   82.0737 1002.3000
261.0833  1.08  0.00    2.8800   78.7947 1002.4000
261.1042  0.69  0.00    2.0200   85.0370 1002.6000
261.1250  0.01  0.00    1.6200   87.2342 1002.5000
261.1458  0.00  0.00    0.9500   90.6700 1002.4000
261.1667  0.32  0.00    0.3700   94.5637 1002.3000
261.1875  0.11  0.00    0.1500   94.3641 1002.3000
261.2083  0.00  9.34   -0.5300   96.4896 1002.2000
261.2292  0.00  9.32   -0.6000   96.5544 1002.0000
261.2500  0.00  9.35   -0.4700   95.7309 1001.9000
261.2708  0.00  9.37   -0.3100   95.3833 1001.9000
261.2917  0.01  9.41   -0.1000   93.1894 1001.9000
261.3125  0.01  9.32   -0.6300   94.2683 1001.9000
261.3333  0.00  9.32   -0.6400   95.3841 1001.9000
261.3542  0.00  9.28   -0.8600   95.9891 1002.0000
261.3750  0.00  9.23   -1.1200   97.2399 1002.0000
261.3958  0.00  9.21   -1.2700   99.2021 1001.9000
261.4167  0.03  9.22   -1.2100   98.6392 1001.8000
261.4375  0.14  9.25   -1.0200   98.6613 1001.6000
261.4583  0.01  9.09   -1.9600   99.9638 1001.6000
261.4792  0.03  9.23   -1.1600  100.3108 1001.6000
261.5000  0.01  9.20   -1.2900   99.8287 1001.5000
261.5208  0.00  9.18   -1.4100  100.9574 1001.4000
